"","1st","1-dist","2nd","2-dist","3rd","3-dist","4th","4-dist","5th","5-dist","6th","6-dist","7th","7-dist","8th","8-dist","9th","9-dist","10th","10-dist"
"1",18,-0.1,5,-4.44089209850063e-16,40,0,28,-0.200000000000001,29,-4.44089209850063e-16,41,0.0999999999999995,8,0.0999999999999996,50,0.3,22,-0.5,49,-0.5
"2",46,5.55111512312578e-16,13,0.200000000000001,10,-0.1,35,-0.1,38,-0.1,26,-0.3,31,-0.2,36,-0.0999999999999999,3,0.0999999999999999,50,-0.399999999999999
"3",48,6.66133814775094e-16,4,6.66133814775094e-16,46,-0.0999999999999993,7,-0.299999999999999,13,0.100000000000001,43,0.3,30,-0.3,2,-0.0999999999999999,36,-0.2,10,-0.2
"4",48,0,30,-0.300000000000001,31,-0.3,3,-6.66133814775094e-16,13,0.1,46,-0.1,39,0.499999999999999,43,0.299999999999999,9,0.5,10,-0.200000000000001
"5",1,4.44089209850063e-16,18,-0.0999999999999995,41,0.1,8,0.1,40,4.44089209850063e-16,28,-0.2,20,-0.499999999999999,22,-0.5,29,0,47,-0.5
"6",19,-0.0999999999999997,11,0.6,49,0.7,45,0.200000000000001,20,0.700000000000001,47,0.700000000000001,17,0.4,22,0.7,33,0.5,34,0.1
"7",48,0.3,3,0.299999999999999,12,-0.3,43,0.599999999999999,30,-9.99200722162641e-16,4,0.3,31,-5.55111512312578e-16,8,-0.4,41,-0.400000000000001,50,-0.2
"8",40,-0.0999999999999996,50,0.2,1,-0.0999999999999996,18,-0.2,27,-0.3,5,-0.1,12,0.1,28,-0.3,29,-0.1,41,-1.11022302462516e-16
"9",39,-2.22044604925031e-16,4,-0.5,43,-0.2,14,0.4,48,-0.5,13,-0.4,46,-0.6,3,-0.5,30,-0.8,31,-0.8
"10",35,0,38,0,2,0.1,31,-0.0999999999999996,13,0.300000000000001,26,-0.2,50,-0.299999999999999,30,-0.1,46,0.100000000000001,3,0.2
"11",49,0.100000000000001,28,0.4,37,0.3,20,0.100000000000001,47,0.100000000000001,6,-0.6,17,-0.2,21,0.1,32,0.1,22,0.100000000000001
"12",30,0.299999999999999,8,-0.1,27,-0.4,25,-0.3,31,0.3,7,0.3,50,0.1,40,-0.2,10,0.399999999999999,35,0.399999999999999
"13",2,-0.200000000000001,10,-0.300000000000001,35,-0.300000000000001,38,-0.300000000000001,46,-0.2,31,-0.4,3,-0.100000000000001,4,-0.1,26,-0.5,48,-0.1
"14",39,-0.4,43,-0.600000000000001,9,-0.4,48,-0.9,3,-0.9,4,-0.9,13,-0.8,7,-1.2,46,-1,30,-1.2
"15",34,-0.1,17,0.199999999999999,16,-0.800000000000001,19,-0.3,11,0.399999999999999,37,0.7,49,0.5,6,-0.2,33,0.3,20,0.5
"16",34,0.7,15,0.800000000000001,6,0.6,17,1,19,0.500000000000001,33,1.1,11,1.2,49,1.3,20,1.3,47,1.3
"17",11,0.2,49,0.3,34,-0.3,20,0.300000000000001,6,-0.4,22,0.3,37,0.5,33,0.100000000000001,15,-0.199999999999999,47,0.300000000000001
"18",1,0.1,41,0.2,5,0.0999999999999995,40,0.1,28,-0.100000000000001,29,0.0999999999999995,8,0.2,50,0.4,22,-0.4,27,-0.1
"19",6,0.0999999999999997,11,0.699999999999999,49,0.8,21,0.8,17,0.5,32,0.8,37,1,34,0.2,15,0.3,47,0.8
"20",22,-3.88578058618805e-16,47,-1.11022302462516e-16,49,-5.55111512312578e-16,5,0.499999999999999,18,0.4,1,0.5,28,0.299999999999999,11,-0.100000000000001,41,0.599999999999999,33,-0.2
"21",32,-5.55111512312578e-17,28,0.3,29,0.5,11,-0.1,40,0.500000000000001,49,2.22044604925031e-16,37,0.2,1,0.500000000000001,24,0.100000000000001,8,0.6
"22",20,3.88578058618805e-16,47,2.77555756156289e-16,18,0.4,5,0.5,49,-1.66533453693773e-16,1,0.5,28,0.3,41,0.6,44,-2.22044604925031e-16,27,0.3
"23",7,-0.3,3,-6.66133814775094e-16,41,-0.7,43,0.299999999999999,48,0,5,-0.8,36,-0.2,50,-0.5,1,-0.8,18,-0.9
"24",27,0.199999999999999,44,-0.100000000000001,40,0.4,8,0.5,32,-0.100000000000001,18,0.3,28,0.199999999999999,50,0.7,21,-0.100000000000001,26,0.799999999999999
"25",12,0.3,30,0.599999999999999,27,-0.1,31,0.6,8,0.2,24,-0.3,40,0.1,10,0.699999999999999,35,0.699999999999999,38,0.699999999999999
"26",10,0.2,35,0.2,38,0.2,2,0.3,31,0.1,13,0.5,46,0.3,30,0.0999999999999996,50,-0.0999999999999996,8,-0.3
"27",24,-0.199999999999999,44,-0.3,8,0.3,40,0.2,18,0.1,12,0.4,50,0.5,1,0.2,28,-1.66533453693773e-16,41,0.3
"28",29,0.2,1,0.200000000000001,40,0.200000000000001,18,0.100000000000001,49,-0.3,8,0.3,5,0.2,11,-0.4,21,-0.3,41,0.3
"29",28,-0.2,1,4.44089209850063e-16,40,4.44089209850063e-16,18,-0.0999999999999995,8,0.1,50,0.3,41,0.1,5,0,32,-0.5,37,-0.3
"30",31,4.44089209850063e-16,4,0.300000000000001,12,-0.299999999999999,48,0.300000000000001,10,0.1,35,0.1,38,0.1,3,0.3,7,9.99200722162641e-16,13,0.400000000000001
"31",30,-4.44089209850063e-16,10,0.0999999999999996,35,0.0999999999999996,38,0.0999999999999996,4,0.3,26,-0.1,46,0.2,13,0.4,2,0.2,12,-0.3
"32",21,5.55111512312578e-17,28,0.3,29,0.5,37,0.2,18,0.400000000000001,11,-0.1,40,0.500000000000001,49,2.77555756156289e-16,24,0.100000000000001,1,0.500000000000001
"33",34,-0.4,47,0.2,20,0.2,49,0.2,11,0.0999999999999993,6,-0.5,17,-0.100000000000001,22,0.2,5,0.7,45,-0.3
"34",33,0.4,16,-0.7,17,0.3,15,0.1,6,-0.1,11,0.5,49,0.6,19,-0.2,20,0.600000000000001,47,0.600000000000001
"35",35,0,38,0,2,0.1,31,-0.0999999999999996,13,0.300000000000001,26,-0.2,50,-0.299999999999999,30,-0.1,46,0.100000000000001,3,0.2
"36",50,-0.3,2,0.0999999999999999,3,0.2,41,-0.5,29,-0.6,10,-3.05311331771918e-16,35,-3.05311331771918e-16,38,-3.05311331771918e-16,8,-0.5,13,0.3
"37",11,-0.3,32,-0.2,29,0.3,49,-0.2,28,0.0999999999999999,1,0.3,21,-0.2,18,0.200000000000001,17,-0.5,40,0.3
"38",35,0,38,0,2,0.1,31,-0.0999999999999996,13,0.300000000000001,26,-0.2,50,-0.299999999999999,30,-0.1,46,0.100000000000001,3,0.2
"39",9,2.22044604925031e-16,43,-0.2,14,0.4,4,-0.499999999999999,48,-0.499999999999999,3,-0.5,13,-0.399999999999999,46,-0.599999999999999,7,-0.799999999999999,30,-0.8
"40",8,0.0999999999999996,1,0,28,-0.200000000000001,29,-4.44089209850063e-16,50,0.3,18,-0.1,27,-0.2,5,-4.44089209850063e-16,41,0.0999999999999995,12,0.2
"41",18,-0.2,1,-0.0999999999999995,5,-0.1,8,1.11022302462516e-16,50,0.2,40,-0.0999999999999995,29,-0.1,28,-0.3,22,-0.6,36,0.5
"42",9,-0.5,39,-0.500000000000001,46,-1.1,14,-0.1,13,-0.9,2,-1.1,4,-1,31,-1.3,43,-0.700000000000001,26,-1.4
"43",39,0.2,48,-0.299999999999999,4,-0.299999999999999,3,-0.3,7,-0.599999999999999,9,0.2,14,0.600000000000001,30,-0.6,13,-0.199999999999999,46,-0.399999999999999
"44",27,0.3,24,0.100000000000001,22,2.22044604925031e-16,18,0.400000000000001,8,0.6,41,0.6,40,0.5,20,6.10622663543836e-16,1,0.5,5,0.5
"45",47,0.5,6,-0.200000000000001,22,0.5,20,0.5,44,0.499999999999999,49,0.499999999999999,27,0.799999999999999,25,0.9,24,0.6,28,0.799999999999999
"46",2,-5.55111512312578e-16,13,0.2,31,-0.2,3,0.0999999999999993,4,0.1,10,-0.100000000000001,35,-0.100000000000001,38,-0.100000000000001,26,-0.3,48,0.1
"47",20,1.11022302462516e-16,22,-2.77555756156289e-16,49,-4.44089209850063e-16,5,0.5,28,0.299999999999999,11,-0.100000000000001,33,-0.2,45,-0.5,1,0.5,18,0.4
"48",4,0,3,-6.66133814775094e-16,43,0.299999999999999,7,-0.3,30,-0.300000000000001,39,0.499999999999999,13,0.1,46,-0.1,31,-0.3,12,-0.6
"49",11,-0.100000000000001,28,0.3,20,5.55111512312578e-16,47,4.44089209850063e-16,22,1.66533453693773e-16,1,0.5,18,0.4,5,0.5,29,0.5,37,0.2
"50",8,-0.2,40,-0.3,36,0.3,1,-0.3,29,-0.3,18,-0.4,41,-0.2,10,0.299999999999999,35,0.299999999999999,38,0.299999999999999
"51",53,-0.100000000000001,87,0.3,66,0.7,77,0.500000000000001,59,0.900000000000001,76,0.9,78,-0.0999999999999999,52,0.7,55,0.900000000000001,57,0.4
"52",57,-0.299999999999999,76,0.200000000000001,66,0,87,-0.4,92,0.500000000000001,75,0.7,59,0.200000000000001,55,0.200000000000001,86,0.100000000000001,98,0.900000000000001
"53",51,0.100000000000001,87,0.4,78,6.66133814775094e-16,77,0.600000000000001,59,1,66,0.8,55,1,76,1,52,0.8,57,0.500000000000001
"54",90,-0.2,81,0.3,70,2.22044604925031e-16,82,0.5,93,-0.5,95,-0.7,91,-0.600000000000001,60,-0.1,83,-0.5,100,-0.8
"55",59,2.22044604925031e-16,76,-4.44089209850063e-16,77,-0.4,87,-0.600000000000001,75,0.499999999999999,66,-0.200000000000001,52,-0.200000000000001,64,0.3,92,0.3,127,-0.2
"56",67,-0.3,91,0.6,97,0.2,95,0.5,79,-0.6,96,0.2,100,0.4,85,-0.1,74,-0.5,62,-0.3
"57",52,0.299999999999999,86,0.4,92,0.800000000000001,128,0.0999999999999999,87,-0.100000000000001,71,0.2,139,0.3,64,0.8,79,1,76,0.5
"58",94,4.44089209850063e-16,99,-0.0999999999999996,61,0.1,82,-1,81,-1.2,60,-1.6,80,-1.2,70,-1.5,65,-1.8,54,-1.5
"59",76,-6.66133814775094e-16,55,-2.22044604925031e-16,66,-0.200000000000001,77,-0.4,87,-0.600000000000001,75,0.499999999999999,52,-0.200000000000001,98,0.699999999999999,53,-1,64,0.3
"60",90,-0.0999999999999999,95,-0.6,54,0.1,81,0.4,70,0.100000000000001,65,-0.2,89,-0.799999999999999,100,-0.7,82,0.6,97,-0.9
"61",94,-0.0999999999999996,58,-0.1,82,-1.1,81,-1.3,99,-0.2,54,-1.6,70,-1.6,90,-1.8,60,-1.7,80,-1.3
"62",97,0.5,79,-0.299999999999999,96,0.5,100,0.700000000000001,89,0.600000000000001,98,-0.0999999999999994,72,0.400000000000001,67,8.88178419700125e-16,92,-0.499999999999999,56,0.3
"63",93,-0.4,70,0.100000000000001,68,-0.399999999999999,81,0.4,83,-0.4,54,0.1,88,-1.1,82,0.6,90,-0.0999999999999999,72,-0.999999999999999
"64",92,4.44089209850063e-16,74,0.3,79,0.2,98,0.4,139,-0.5,127,-0.5,55,-0.3,128,-0.7,56,0.8,134,-0.6
"65",83,-0.2,80,0.599999999999999,89,-0.6,100,-0.5,70,0.3,60,0.2,93,-0.2,90,0.0999999999999996,81,0.6,82,0.8
"66",76,0.200000000000001,59,0.200000000000001,87,-0.4,52,0,75,0.7,55,0.200000000000001,51,-0.7,77,-0.199999999999999,53,-0.8,98,0.900000000000001
"67",85,0.199999999999999,56,0.3,97,0.499999999999999,79,-0.3,62,-8.88178419700125e-16,96,0.499999999999999,89,0.6,95,0.8,100,0.7,91,0.899999999999999
"68",93,-2.22044604925031e-16,83,-2.22044604925031e-16,100,-0.3,70,0.5,95,-0.2,96,-0.500000000000001,97,-0.500000000000001,72,-0.6,89,-0.4,90,0.3
"69",88,0.1,73,-0.8,120,-0.3,55,-0.999999999999999,74,-0.399999999999999,147,-1.3,124,-1.3,79,-0.5,127,-1.2,63,1.2
"70",81,0.3,90,-0.2,82,0.5,93,-0.5,83,-0.5,54,-2.22044604925031e-16,68,-0.5,95,-0.7,100,-0.8,80,0.299999999999999
"71",139,0.100000000000001,128,-0.0999999999999996,150,-0.0999999999999996,86,0.2,57,-0.2,127,0.100000000000001,92,0.600000000000001,79,0.8,64,0.600000000000001,122,0.400000000000001
"72",98,-0.5,83,0.6,93,0.6,62,-0.400000000000001,100,0.3,75,-0.700000000000001,68,0.6,97,0.0999999999999992,96,0.0999999999999992,89,0.2
"73",134,-0.499999999999999,124,-0.5,147,-0.5,84,-0.2,120,0.5,127,-0.4,55,-0.199999999999999,64,0.100000000000001,74,0.400000000000001,69,0.8
"74",64,-0.3,92,-0.3,79,-0.1,98,0.0999999999999996,56,0.5,73,-0.400000000000001,55,-0.6,75,-0.100000000000001,59,-0.6,134,-0.9
"75",98,0.2,76,-0.5,59,-0.499999999999999,55,-0.499999999999999,66,-0.7,52,-0.7,72,0.700000000000001,92,-0.199999999999999,79,2.22044604925031e-16,64,-0.2
"76",66,-0.200000000000001,59,6.66133814775094e-16,75,0.5,52,-0.200000000000001,55,4.44089209850063e-16,87,-0.600000000000001,98,0.7,77,-0.399999999999999,92,0.300000000000001,51,-0.9
"77",59,0.4,87,-0.200000000000001,53,-0.600000000000001,55,0.4,78,-0.600000000000001,51,-0.500000000000001,76,0.399999999999999,66,0.199999999999999,134,0.1,73,0.599999999999999
